File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018179_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-06-28,626249.0,0.0,1.956,"(0.0,1.956)",0.1554,0.085,0.0072,0.206,0.368,0.151,0.0,0.098
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018179_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-06-28,626249.0,0.0,0.25,"(0.0,0.25)",0.04,0.0235,0.0006,0.056,0.107,0.04,0.0,0.022
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018180_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-06-29,619186.0,0.0,0.734,"(0.0,0.734)",0.2371,0.0768,0.0059,0.287,0.404,0.252,0.092,0.209
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018180_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-06-29,619186.0,0.0,1.743,"(0.0,1.743)",0.1555,0.0851,0.0072,0.206,0.368,0.151,0.0,0.098
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018180_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-06-29,619186.0,0.0,0.251,"(0.0,0.251)",0.0401,0.0235,0.0006,0.056,0.107,0.04,0.0,0.022
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018181_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-06-30,631867.0,0.0,0.655,"(0.0,0.655)",0.236,0.0762,0.0058,0.286,0.403,0.251,0.091,0.208
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018181_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-06-30,631867.0,0.0,1.674,"(0.0,1.674)",0.1548,0.0845,0.0071,0.205,0.365,0.151,0.0,0.098
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018181_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-06-30,631867.0,0.0,0.251,"(0.0,0.251)",0.04,0.0236,0.0006,0.056,0.107,0.04,0.0,0.022
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018182_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-01,615275.0,0.0,0.653,"(0.0,0.653)",0.2356,0.0767,0.0059,0.286,0.404,0.251,0.089,0.207
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018182_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-01,615275.0,0.0,2.033,"(0.0,2.033)",0.1552,0.0847,0.0072,0.206,0.368,0.151,0.0,0.098
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018182_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-01,615275.0,0.0,0.251,"(0.0,0.251)",0.0399,0.0236,0.0006,0.056,0.107,0.039,0.0,0.022
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018183_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-02,598580.0,0.0,0.703,"(0.0,0.703)",0.2343,0.0773,0.006,0.285,0.406,0.249,0.083,0.204
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018183_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-02,598580.0,0.0,2.155,"(0.0,2.155)",0.1553,0.0852,0.0073,0.206,0.368,0.151,0.0,0.098
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018183_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-02,598580.0,0.0,0.326,"(0.0,0.326)",0.0396,0.0237,0.0006,0.056,0.107,0.039,0.0,0.022
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018184_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-03,589921.0,0.0,0.713,"(0.0,0.713)",0.234,0.0778,0.006,0.285,0.406,0.249,0.083,0.204
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018184_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-03,589921.0,0.0,2.22,"(0.0,2.22)",0.1555,0.0855,0.0073,0.206,0.368,0.151,0.0,0.098
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018184_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-03,589921.0,0.0,0.393,"(0.0,0.393)",0.0395,0.0238,0.0006,0.056,0.108,0.039,0.0,0.021
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018185_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-07-04,609126.0,0.0,0.947,"(0.0,0.947)",0.234,0.0769,0.0059,0.284,0.402,0.249,0.087,0.205
